"","YR","SP","DEPTH","LAT","LON","ASDIST","DTEOC"
"1695",2009,63,NA,NA,NA,NA,NA
"1696",2010,63,NA,NA,NA,NA,NA
"1697",2011,63,NA,NA,NA,NA,NA
"1698",2012,63,NA,NA,NA,NA,NA
"1699",2013,63,NA,NA,NA,NA,NA
"1700",2014,63,NA,NA,NA,NA,NA
"1701",2015,63,NA,NA,NA,NA,NA
"1702",2016,63,NA,NA,NA,NA,NA
"1703",2017,63,NA,NA,NA,NA,NA
"1704",2018,63,NA,NA,NA,NA,NA
"1705",2019,63,NA,NA,NA,NA,NA
"1706",2020,63,NA,NA,NA,NA,NA
"1707",2021,63,NA,NA,NA,NA,NA
"1708",2022,63,NA,NA,NA,NA,NA
"1709",2023,63,NA,NA,NA,NA,NA
"1710",2024,63,NA,NA,NA,NA,NA
"1711",1968,67,NA,NA,NA,NA,NA
"1712",1969,67,NA,NA,NA,NA,NA
"1713",1970,67,NA,NA,NA,NA,NA
"1714",1971,67,NA,NA,NA,NA,NA
"1715",1972,67,NA,NA,NA,NA,NA
"1716",1973,67,NA,NA,NA,NA,NA
"1717",1974,67,NA,NA,NA,NA,NA
"1718",1975,67,NA,NA,NA,NA,NA
"1719",1976,67,NA,NA,NA,NA,NA
"1720",1977,67,NA,NA,NA,NA,NA
"1721",1978,67,NA,NA,NA,NA,NA
"1722",1979,67,NA,NA,NA,NA,NA
"1723",1980,67,NA,NA,NA,NA,NA
"1724",1981,67,NA,NA,NA,NA,NA
"1725",1982,67,NA,NA,NA,NA,NA
"1726",1983,67,NA,NA,NA,NA,NA
"1727",1984,67,NA,NA,NA,NA,NA
"1728",1985,67,NA,NA,NA,NA,NA
"1729",1986,67,NA,NA,NA,NA,NA
"1730",1987,67,NA,NA,NA,NA,NA
"1731",1988,67,NA,NA,NA,NA,NA
"1732",1989,67,NA,NA,NA,NA,NA
"1733",1990,67,NA,NA,NA,NA,NA
"1734",1991,67,NA,NA,NA,NA,NA
"1735",1992,67,NA,NA,NA,NA,NA
"1736",1993,67,NA,NA,NA,NA,NA
"1737",1994,67,NA,NA,NA,NA,NA
"1738",1995,67,NA,NA,NA,NA,NA
"1739",1996,67,NA,NA,NA,NA,NA
"1740",1997,67,NA,NA,NA,NA,NA
"1741",1998,67,NA,NA,NA,NA,NA
"1742",1999,67,NA,NA,NA,NA,NA
"1743",2000,67,NA,NA,NA,NA,NA
"1744",2001,67,NA,NA,NA,NA,NA
"1745",2002,67,NA,NA,NA,NA,NA
"1746",2003,67,NA,NA,NA,NA,NA
"1747",2004,67,NA,NA,NA,NA,NA
"1748",2005,67,NA,NA,NA,NA,NA
"1749",2006,67,NA,NA,NA,NA,NA
"1750",2007,67,NA,NA,NA,NA,NA
"1751",2008,67,NA,NA,NA,NA,NA
"1752",2009,67,NA,NA,NA,NA,NA
"1753",2010,67,NA,NA,NA,NA,NA
"1754",2011,67,NA,NA,NA,NA,NA
"1755",2012,67,NA,NA,NA,NA,NA
"1756",2013,67,NA,NA,NA,NA,NA
"1757",2014,67,NA,NA,NA,NA,NA
"1758",2015,67,NA,NA,NA,NA,NA
"1759",2016,67,NA,NA,NA,NA,NA
"1760",2017,67,NA,NA,NA,NA,NA
"1761",2018,67,NA,NA,NA,NA,NA
"1762",2019,67,NA,NA,NA,NA,NA
"1763",2020,67,NA,NA,NA,NA,NA
"1764",2021,67,NA,NA,NA,NA,NA
"1765",2022,67,NA,NA,NA,NA,NA
"1766",2023,67,NA,NA,NA,NA,NA
"1767",2024,67,NA,NA,NA,NA,NA
"1768",1968,69,NA,NA,NA,NA,NA
"1769",1969,69,NA,NA,NA,NA,NA
"1770",1970,69,NA,NA,NA,NA,NA
"1771",1971,69,NA,NA,NA,NA,NA
"1772",1972,69,NA,NA,NA,NA,NA
"1773",1973,69,NA,NA,NA,NA,NA
"1774",1974,69,NA,NA,NA,NA,NA
"1775",1975,69,NA,NA,NA,NA,NA
"1776",1976,69,NA,NA,NA,NA,NA
"1777",1977,69,NA,NA,NA,NA,NA
"1778",1978,69,NA,NA,NA,NA,NA
"1779",1979,69,NA,NA,NA,NA,NA
"1780",1980,69,NA,NA,NA,NA,NA
"1781",1981,69,NA,NA,NA,NA,NA
"1782",1982,69,NA,NA,NA,NA,NA
"1783",1983,69,NA,NA,NA,NA,NA
"1784",1984,69,NA,NA,NA,NA,NA
"1785",1985,69,NA,NA,NA,NA,NA
"1786",1986,69,NA,NA,NA,NA,NA
"1787",1987,69,NA,NA,NA,NA,NA
"1788",1988,69,NA,NA,NA,NA,NA
"1789",1989,69,NA,NA,NA,NA,NA
"1790",1990,69,NA,NA,NA,NA,NA
"1791",1991,69,NA,NA,NA,NA,NA
"1792",1992,69,NA,NA,NA,NA,NA
"1793",1993,69,NA,NA,NA,NA,NA
"1794",1994,69,NA,NA,NA,NA,NA
"1795",1995,69,NA,NA,NA,NA,NA
"1796",1996,69,NA,NA,NA,NA,NA
"1797",1997,69,NA,NA,NA,NA,NA
"1798",1998,69,NA,NA,NA,NA,NA
"1799",1999,69,NA,NA,NA,NA,NA
"1800",2000,69,NA,NA,NA,NA,NA
"1801",2001,69,NA,NA,NA,NA,NA
"1802",2002,69,NA,NA,NA,NA,NA
"1803",2003,69,NA,NA,NA,NA,NA
"1804",2004,69,NA,NA,NA,NA,NA
"1805",2005,69,NA,NA,NA,NA,NA
"1806",2006,69,NA,NA,NA,NA,NA
"1807",2007,69,NA,NA,NA,NA,NA
"1808",2008,69,NA,NA,NA,NA,NA
"1809",2009,69,NA,NA,NA,NA,NA
"1810",2010,69,NA,NA,NA,NA,NA
"1811",2011,69,NA,NA,NA,NA,NA
"1812",2012,69,NA,NA,NA,NA,NA
"1813",2013,69,NA,NA,NA,NA,NA
"1814",2014,69,NA,NA,NA,NA,NA
"1815",2015,69,NA,NA,NA,NA,NA
"1816",2016,69,NA,NA,NA,NA,NA
"1817",2017,69,NA,NA,NA,NA,NA
"1818",2018,69,NA,NA,NA,NA,NA
"1819",2019,69,NA,NA,NA,NA,NA
"1820",2020,69,NA,NA,NA,NA,NA
"1821",2021,69,NA,NA,NA,NA,NA
"1822",2022,69,NA,NA,NA,NA,NA
"1823",2023,69,NA,NA,NA,NA,NA
"1824",2024,69,NA,NA,NA,NA,NA
"1825",1968,72,131.438596491228,39.510964877193,-71.7754385877193,687.674354947922,115.090903550537
"1826",1969,72,140.79020979021,40.2945221958042,-70.780303013986,810.194407092994,118.656211760696
"1827",1970,72,140.168918918919,40.4665540472973,-70.8172297702703,823.890659624137,111.715898464739
"1828",1971,72,134.459627329193,40.2515527701863,-71.0455486583851,791.803864496917,107.948102174177
"1829",1972,72,143,40.6929718674699,-70.3528112590361,868.862067309408,117.769388371647
"1830",1973,72,95.6819923371648,40.3477011609195,-71.3614942490421,781.349807487777,88.1274369961152
"1831",1974,72,115.341584158416,40.8018976732673,-70.6207095445545,862.634444875238,98.2102312960135
"1832",1975,72,113.894230769231,40.862900625,-70.4489583413462,877.025217000129,103.01410516812
"1833",1976,72,113.128630705394,40.4558091203319,-71.1217150829875,804.300877175499,88.6355436397662
"1834",1977,72,118.625,40.7614583416667,-70.4234722416667,869.987978781877,108.132957869712
"1835",1978,72,111.874458874459,40.4368686536797,-71.1507215367965,800.740326210294,91.8062346845542
"1836",1979,72,110.25,40.6649371367924,-70.6162735943396,850.697091570915,101.140969196747
"1837",1980,72,112.008547008547,40.5017806111111,-70.8490740982906,824.169005758842,96.8280070612064
"1838",1981,72,114.643216080402,40.6167504422111,-70.6405360653266,845.082516285799,103.349574829855
"1839",1982,72,132.191358024691,40.5431069814815,-70.8816872345679,825.837405246812,100.271059184993
"1840",1983,72,118.906862745098,40.5266339803922,-70.8741013039216,824.783275007708,100.12663238674
"1841",1984,72,119.782122905028,40.5189012905028,-70.9049348324022,822.474288473273,98.910824642153
"1842",1985,72,116.974747474747,40.4382154848485,-70.9787878838384,810.50177859336,95.2871460599744
"1843",1986,72,130.132701421801,40.6909952843602,-70.3849921279621,866.519039075319,109.562418127979
"1844",1987,72,129.27868852459,40.5715846885246,-70.5941712404372,844.623507891641,109.040847647584
"1845",1988,72,136.739130434783,40.7340579710145,-70.6030192753623,857.203793636666,100.416300795412
"1846",1989,72,128.074534161491,40.6992753540373,-70.6605590186335,850.97525495666,101.034262613501
"1847",1990,72,121.993548387097,40.6599999677419,-70.8064516258064,839.363765227359,94.4987513999419
"1848",1991,72,123.291428571429,40.9411428914286,-70.3097142742857,892.038646295475,102.468850736525
"1849",1992,72,124.083916083916,40.8761072447552,-70.4681818041958,876.595191423924,96.3099412344701
"1850",1993,72,118.932515337423,40.6453987423313,-70.5476482515337,852.516119484497,110.667713376243
"1851",1994,72,134.205128205128,40.8698718012821,-69.989636775641,903.841249325602,117.481788414595
"1852",1995,72,125.639751552795,41.0490683291925,-70.1649068385093,908.784892683621,104.512722709632
"1853",1996,72,137.549295774648,41.0931925070423,-70.0396713661972,919.934445563874,111.0503489069
"1854",1997,72,111.690322580645,40.5319355225806,-71.0669892709677,812.954187608326,87.4747649943496
"1855",1998,72,122.783333333333,41.0714814833333,-70.5301851555556,890.240101388351,85.9680781398038
"1856",1999,72,120.482954545455,41.0826145852273,-70.2687395795455,906.014159228928,97.1970763640168
"1857",2000,72,120.981132075472,41.3788207672956,-69.6273689748428,967.204021547693,110.184505576685
"1858",2001,72,127.627218934911,41.2339653372781,-69.9726558994083,935.886172315763,102.976752236765
"1859",2002,72,122.135802469136,41.2543734567901,-70.0782119259259,931.547233247631,95.8217840273363
"1860",2003,72,142.442748091603,41.4252322290076,-69.4963275038168,979.188651225554,117.273218244711
"1861",2004,72,134.184931506849,41.1488061232877,-70.1759969383562,916.599065281661,99.2201614445448
"1862",2005,72,135.928571428571,41.0226948785714,-70.26348625,901.401057853144,105.354749130507
"1863",2006,72,123.666666666667,41.1563086296296,-70.2568069135802,912.891637424409,95.0925606045457
"1864",2007,72,134.986842105263,40.9188258355263,-70.4017689078947,883.931705400527,104.851403736768
"1865",2008,72,124.019230769231,41.100483948718,-70.2482469102564,908.277136555541,101.312668848674
"1866",2009,72,114.310861423221,40.6795942022472,-70.6043393857678,852.658668160627,99.6909987777013
"1867",2010,72,110.017482517483,40.3682261958042,-70.946075979021,806.419985323274,96.7009425968963
"1868",2011,72,116.134831460674,40.4803682996255,-70.7186412059925,829.270939095444,103.221007472013
"1869",2012,72,109.421404682274,40.7268277458194,-70.6082970535117,856.141393720165,97.8601714321653
"1870",2013,72,109.639730639731,40.4583963973064,-70.6945370909091,828.660268601546,104.932469274899
"1871",2014,72,121.829787234043,41.1478787957447,-69.9147950340426,931.549811486118,112.355979512996
"1872",2015,72,127.649402390438,40.8423350796813,-69.9625910438247,903.02981628961,120.887865376146
"1873",2016,72,110.018796992481,40.8354642819549,-70.3769632180451,878.64449651466,103.932662976246
"1874",2017,72,116.680608365019,40.5314100076046,-70.7047511787072,834.401846625407,105.532670708054
"1875",2018,72,111.761904761905,40.3727225502645,-70.944697037037,807.462951411665,103.602701435605
"1876",2019,72,116.45652173913,40.6961628152174,-70.4359737572464,863.585428561986,107.180917941629
"1877",2020,72,88.9142857142857,38.6173190285714,-73.9179785857143,488.571940086836,70.0190024462892
"1878",2021,72,117.63453815261,40.9471143253012,-70.1396224016064,901.055919294575,110.013043580526
"1879",2022,72,118.906382978723,41.0582291106383,-69.9684631446809,920.714842168453,112.073673377251
"1880",2023,72,95.3823529411765,41.3447695882353,-67.6347794411765,1078.16812603789,186.381144200193
"1881",2024,72,118.307971014493,40.8160655724638,-70.3514762028985,878.580035795887,107.916296879133
"1882",1968,73,104.204301075269,41.7125447634409,-69.0471326129032,1028.84637052255,110.545393615047
"1883",1969,73,87.9431818181818,41.6117424204545,-68.9778408977273,1023.92290428538,112.208304343576
"1884",1970,73,94.9176470588235,41.5894117882353,-69.1007843411765,1015.53861158357,111.809287803467
"1885",1971,73,89.5816326530612,41.7773809591837,-68.9634353367347,1038.83445038728,109.689084179833
"1886",1972,73,100,41.9042123956044,-68.5428571648352,1073.56206016362,120.349288516206
"1887",1973,73,83.4661654135338,41.3334586691729,-69.6840852255639,959.977137409143,102.150242234829
"1888",1974,73,86.2772277227723,41.5669967029703,-69.4110560891089,995.631096903238,100.309755458796
"1889",1975,73,83.3551401869159,41.5799065700935,-69.5400311962617,988.449352170916,95.8288618995866
"1890",1976,73,93.5142857142857,41.8122221714286,-68.9873016,1040.83691797991,110.033727512692
"1891",1977,73,88.9017857142857,41.853422625,-69.0936012321429,1038.16348224927,99.5093158282454
"1892",1978,73,93.2142857142857,41.7601851825397,-68.8691799444444,1042.82539486746,113.032983646829
"1893",1979,73,99.858064516129,41.959569883871,-68.4964516451613,1081.15292622899,119.038782036997
"1894",1980,73,98.6028368794326,41.6505909716312,-69.0290780212766,1024.16169110536,110.147855417982
"1895",1981,73,100.290909090909,41.8190909636364,-68.6442424363636,1060.22186901631,122.204806530625
"1896",1982,73,106.509259259259,41.8158950462963,-68.6961419351852,1057.10298296252,117.488089072491
"1897",1983,73,100.145833333333,41.9434027604167,-68.8798610833333,1058.26621155362,104.043003219946
"1898",1984,73,95.741935483871,41.8471325591398,-68.8720429892473,1049.10608804808,107.946004540526
"1899",1985,73,103.424528301887,41.8040880660377,-68.5460692169811,1064.44015176275,121.576251005801
"1900",1986,73,99.1894736842105,41.7596491263158,-68.6836842105263,1053.48593809923,116.572891338207
"1901",1987,73,96.2054794520548,41.8908676575342,-68.4105023287671,1080.02705343105,122.718475147344
"1902",1988,73,90.9659090909091,41.8662878863636,-68.8043560568182,1054.78931070297,110.255543843523
"1903",1989,73,101.741379310345,41.821264362069,-68.9537356293103,1043.12847395312,108.627846335223
"1904",1990,73,102.336842105263,41.9436842105263,-68.6014035157895,1072.94476767453,116.256971123739
"1905",1991,73,110.10752688172,41.8202509462366,-68.3172042903226,1079.06903496404,132.437427698394
"1906",1992,73,116.972222222222,41.9729166527778,-68.5171296527778,1080.15458482452,117.383011985166
"1907",1993,73,108.8375,42.08625,-68.409999975,1095.88266798095,114.96239756726
"1908",1994,73,112.716216216216,41.9972972162162,-68.7063063783784,1071.3550971262,111.473201512491
"1909",1995,73,102.123076923077,42.0707692769231,-68.1728204923077,1107.25243930977,121.941318624349
"1910",1996,73,120.640625,42.237500015625,-68.019270875,1130.65711073483,132.208059990236
"1911",1997,73,120.435897435897,42.1995726538462,-67.9732906025641,1130.66554340939,126.828552225979
"1912",1998,73,115.826666666667,42.10244452,-68.4375556133333,1095.357918071,109.401362789902
"1913",1999,73,106.140625,41.918096359375,-68.112169265625,1098.18674105238,137.086667738167
"1914",2000,73,104.807692307692,42.1377905897436,-68.2029444358974,1111.56153174162,123.087946708368
"1915",2001,73,120.80701754386,42.0792512105263,-68.2224416842105,1105.77878745516,121.552749597731
"1916",2002,73,125.688311688312,42.3282272857143,-68.119422038961,1132.45263431231,113.582495043959
"1917",2003,73,114.150943396226,42.1512633207547,-68.0367144339623,1123.71977338167,133.935950133994
"1918",2004,73,111.227272727273,42.0086633787879,-68.2376905606061,1098.7978961889,124.541469317908
"1919",2005,73,104.806451612903,41.9470607419355,-68.4126062741935,1084.85008878518,126.30421590079
"1920",2006,73,107.561403508772,42.0550564035088,-68.297401754386,1100.67103215446,122.786069637962
"1921",2007,73,109.9,42.0177546857143,-67.8361107857143,1122.49597693788,144.315084580946
"1922",2008,73,108.098360655738,42.123921852459,-68.0524030819672,1118.90082095025,131.674456619436
"1923",2009,73,112.679487179487,41.9594801282051,-68.3701517051282,1088.37100508746,121.182941504495
"1924",2010,73,105.989247311828,41.8751648387097,-68.4273755591398,1076.36961482508,124.953451859309
"1925",2011,73,100.066666666667,41.5010158266667,-69.1171631866667,1006.08963548801,118.195079930153
"1926",2012,73,107.83950617284,42.2514682962963,-68.401161654321,1110.47651118469,115.867669421492
"1927",2013,73,112.447368421053,42.0848811315789,-68.3228001052632,1101.08280455062,126.438985420779
"1928",2014,73,121.610169491525,42.2319898983051,-68.1526657457627,1122.59081570472,116.893079519502
"1929",2015,73,118.811764705882,41.9188592352941,-68.6044602941176,1070.22956282356,117.435138581072
"1930",2016,73,115.722222222222,42.3515774305556,-68.2855743888889,1125.47801882399,108.471802531537
"1931",2017,73,126.59756097561,41.9994750853659,-68.1957586829268,1100.82163216055,131.911833894683
"1932",2018,73,106.324324324324,42.0750806756757,-68.482286027027,1090.98166566434,118.614112063676
"1933",2019,73,99.8333333333333,41.8419140740741,-68.3773683703704,1077.40839310518,128.768958260342
"1934",2020,73,22,40.446833,-73.645833,662.743909057762,16.0938277612434
"1935",2021,73,99.2325581395349,41.9905387209302,-67.7735076976744,1122.54597918086,137.457365484346
"1936",2022,73,88.8695652173913,41.9549673478261,-68.3664637173913,1087.35254507929,128.029678048226
"1937",2023,73,94.9583333333333,41.7534305416667,-67.5268125416667,1117.34765137557,155.936490736284
"1938",2024,73,111.186046511628,41.8547273488372,-68.4768780465116,1073.46725619535,118.207351056211
"1939",1968,74,130.32183908046,41.9421456091954,-68.2683908045977,1092.01240886744,132.022639778411
"1940",1969,74,121.780487804878,42.0477642560976,-68.3800812804878,1095.50366311266,119.516170612964
"1941",1970,74,111.983050847458,41.9355932542373,-68.0429378474576,1104.33797107704,138.556269581438
"1942",1971,74,120.115384615385,41.9320513269231,-67.7753205,1119.67790378521,147.946384041205
"1943",1972,74,83.72,41.77733324,-67.97833336,1095.00739582425,149.945928629586
"1944",1973,74,85.0169491525424,41.9146893050847,-68.0562146779661,1101.70305868538,135.937576368747
"1945",1974,74,95.1372549019608,41.8996731960784,-68.0758169803922,1099.62779935741,132.97892813732
"1946",1975,74,89.5714285714286,42.0091837346939,-68.3809523673469,1091.14954718312,118.437180188699
"1947",1976,74,94.2894736842105,41.9837718947368,-68.4548245921053,1086.00555238132,119.863666146935
"1948",1977,74,97.8266666666667,42.2037778133333,-68.4635555866667,1103.70815774683,112.334358177671
"1949",1978,74,104.060240963855,42.0178714819277,-67.9429719277108,1117.08331348308,136.227561208577
"1950",1979,74,107.382113821138,41.9623306178862,-68.067344195122,1105.79138840381,142.020076647935
"1951",1980,74,97.679012345679,41.5504115432099,-68.3004115432099,1057.21329047925,142.199682494171
"1952",1981,74,109.068181818182,41.9704545795455,-68.2017045681818,1097.94732917874,135.015623648732
"1953",1982,74,112.6875,41.99374996875,-68.044010328125,1109.16522387904,142.257726929498
"1954",1983,74,105.539473684211,42.0885965131579,-68.1611841842105,1110.89729910674,127.773248389626
"1955",1984,74,95.4821428571429,41.9714285178571,-67.7529761785714,1123.59495916167,143.312013049253
"1956",1985,74,115.109375,42.00052084375,-67.87578128125,1118.64962682829,136.213112639944
"1957",1986,74,97.65,41.89875,-67.96666665,1105.50015371846,136.787970898428
"1958",1987,74,99.6060606060606,41.9282828787879,-67.7964646666667,1117.53946991598,140.632900860496
"1959",1988,74,85.8775510204082,41.4064626530612,-68.8646258979592,1012.83359500304,128.903356315608
"1960",1989,74,111.25,41.62916665,-67.498333375,1108.65813538842,166.030585195419
"1961",1990,74,88.0714285714286,41.7505952142857,-67.3005952142857,1130.02273958555,167.150247963561
"1962",1991,74,98.7586206896552,41.698275862069,-67.5252872758621,1113.63390306475,158.851340480404
"1963",1992,74,79.8,41.5955555666667,-68.0111111,1077.57465335735,161.626584880358
"1964",1993,74,115.526315789474,41.8561403157895,-67.7135964736842,1116.32100250191,154.626469050906
"1965",1994,74,123.125,41.96,-67.9366668,1111.92082157627,135.013628837521
"1966",1995,74,133.352941176471,42.4132352941176,-67.9730392352941,1147.98790913985,119.283918783926
"1967",1996,74,121.205128205128,42.084188051282,-67.6692308205128,1137.31334286843,153.286139704714
"1968",1997,74,110.172413793103,41.8152299310345,-68.1956896724138,1084.82033810033,132.197372849779
"1969",1998,74,125.061224489796,42.002381,-67.5323129183674,1137.40751022199,151.16604268966
"1970",1999,74,113.640625,41.98104684375,-68.1786615,1100.09935617953,130.975195755747
"1971",2000,74,121.760869565217,42.4517753478261,-67.9645253913043,1151.6271765555,129.336038315166
"1972",2001,74,129.390625,41.975640359375,-67.928118390625,1114.09078318087,142.12996165402
"1973",2002,74,129.287671232877,42.2454132876712,-68.0822396712329,1127.38401735838,120.705170618304
"1974",2003,74,126.066666666667,42.1537231833333,-67.9558128833333,1128.31270862372,141.819278005825
"1975",2004,74,120.986666666667,41.7216666533333,-68.1462566933333,1080.3198393506,147.089208600643
"1976",2005,74,110.651515151515,41.8502090606061,-67.829799030303,1109.59549435445,157.680540912799
"1977",2006,74,117.685714285714,41.6931395,-68.2491518857143,1071.8648000721,145.679745329086
"1978",2007,74,106,41.8649177352941,-67.6865320294118,1117.84551361768,157.321647279236
"1979",2008,74,123.828571428571,42.0377105714286,-67.4931913857143,1143.40900565654,155.872139281769
"1980",2009,74,118.553846153846,42.090018,-67.7871354153846,1132.10407255403,143.240333504235
"1981",2010,74,119.802325581395,41.9831181976744,-67.8371571976744,1119.46884472332,144.305695489993
"1982",2011,74,108.436170212766,41.6512274361702,-68.5238348829787,1052.71165225041,140.261877180922
"1983",2012,74,119.236559139785,42.2077876129032,-68.0723261612903,1125.146353795,126.973435289252
"1984",2013,74,130.877358490566,42.1911970188679,-68.0091600566038,1127.66685800375,133.233697383521
"1985",2014,74,121.639455782313,41.882342047619,-68.6689525306122,1064.48621273397,122.647160134467
"1986",2015,74,133.325925925926,42.0983815925926,-68.0374679925926,1118.36323894905,136.876931385932
"1987",2016,74,134.964788732394,42.2759961478873,-68.1174882535211,1129.03825627835,127.378121604679
"1988",2017,74,139.100775193798,42.0188498217054,-68.1355816434108,1106.12143933098,137.2863592856
"1989",2018,74,135.917808219178,42.2184255205479,-68.0147096712329,1130.03519783131,136.314731912555
"1990",2019,74,140.5,42.1252615227273,-68.2060576363636,1111.15398610754,130.678453593347
"1991",2020,74,NA,NA,NA,NA,NA
"1992",2021,74,140.214953271028,42.363599682243,-68.049169728972,1139.16793536029,125.624533245266
"1993",2022,74,143.082568807339,42.4261682201835,-68.163278293578,1138.29517686711,123.077965181237
"1994",2023,74,97.8666666666667,41.7698999666667,-67.5224778,1118.85432282504,165.8292725561
"1995",2024,74,148.010869565217,42.345306173913,-68.0869282934783,1136.12383676302,124.457230307612
"1996",1968,75,148.763157894737,42.5127192631579,-68.5315789736842,1125.63064134987,94.9512609409526
"1997",1969,75,137.9375,42.2395833541667,-68.48645825,1104.84027505009,110.421328433684
"1998",1970,75,153.125,42.7031250625,-68.0003472708333,1170.99447181897,107.883266514039
"1999",1971,75,143.042553191489,42.5042553617021,-68.2755319361702,1139.92310210209,103.340314620948
"2000",1972,75,144.865671641791,42.6726368059701,-68.5059702089552,1140.40264281179,90.4741671964919
"2001",1973,75,140.222222222222,42.3188271851852,-68.191358,1127.52947125742,113.193625725228
"2002",1974,75,124.313725490196,42.3189542745098,-68.2094770980392,1126.906995026,108.978848273221
"2003",1975,75,133.847826086957,42.1702898913043,-68.2434782608696,1112.66049604115,123.401082307761
"2004",1976,75,124.855072463768,42.0714975797101,-68.7060386376812,1078.9463796824,112.208014427532
"2005",1977,75,118.777777777778,42.2537036984127,-68.7555555873016,1090.66742882595,98.8996300509305
"2006",1978,75,123.727272727273,42.0093939636364,-68.1693939636364,1102.37497752453,121.734852599358
"2007",1979,75,124.739726027397,42.2449771780822,-68.3776256027397,1111.66069433487,111.312863398417
"2008",1980,75,128.105263157895,41.9383040877193,-68.0321638070175,1104.63186338705,136.452131451194
"2009",1981,75,130.055555555556,42.1206790185185,-68.3259259444444,1103.01329112991,119.099249696206
"2010",1982,75,139.75,42.308749975,-68.23916665,1124.72968079993,108.476594804123
"2011",1983,75,111.794871794872,42.5547008717949,-68.275640974359,1143.31570061875,99.3880157366126
"2012",1984,75,127.3125,42.4142360625,-67.9906249791667,1147.9211475683,113.098854384357
"2013",1985,75,154.75,42.304583325,-67.47875005,1165.47016708648,133.351132780653
"2014",1986,75,156.026315789474,42.4285087631579,-67.9671052105263,1149.88159725343,115.126905739547
"2015",1987,75,135.384615384615,42.2147437307692,-68.4115385,1106.51219916825,112.351032408061
"2016",1988,75,161.25,42.67447915625,-68.3046874375,1150.65051771601,91.2488977998549
"2017",1989,75,164.975609756098,42.3589431219512,-67.6589431219512,1161.05577447315,123.983974581472
"2018",1990,75,139.193548387097,42.1682795806452,-67.9747312258065,1126.9024444815,122.580363499314
"2019",1991,75,159.074074074074,42.3700617592593,-67.6675925925926,1161.13714319548,128.807222921725
"2020",1992,75,150.545454545455,42.6186869090909,-67.9106060909091,1168.8514767691,103.398309722577
"2021",1993,75,148.78125,42.72395828125,-68.16822915625,1162.97242222589,101.191116959344
"2022",1994,75,160.566666666667,42.4605554666667,-67.8544445,1158.54431733068,117.721048935876
"2023",1995,75,153.51724137931,42.8367815862069,-67.6045976551724,1203.29847156911,105.665481057806
"2024",1996,75,153.117647058824,42.5764705882353,-67.4137254705882,1191.37131435819,126.073837628199
"2025",1997,75,134.186046511628,42.4585271860465,-67.865116255814,1157.76064277506,115.659406693728
"2026",1998,75,153.731707317073,42.9975610487805,-68.184552902439,1185.79134494347,89.9707299475988
"2027",1999,75,149.416666666667,42.60824075,-68.0134444444444,1162.27413759457,107.72716979402
"2028",2000,75,132.871794871795,42.7234657692308,-68.1870726153846,1162.3105371749,89.9614303553296
"2029",2001,75,167.096774193548,42.8218616451613,-67.9743248709677,1181.50570585228,91.7223936121124
"2030",2002,75,173.25,42.71986984375,-68.32541665625,1153.85811053618,81.5743612777924
"2031",2003,75,150.230769230769,42.4882383846154,-68.3656265769231,1133.18944155759,94.313958461543
"2032",2004,75,141.821428571429,42.4239091785714,-68.5839627857143,1113.87209359541,97.9313113131617
"2033",2005,75,197.464285714286,42.7013995357143,-68.2068128214286,1159.30383999601,107.10258525227
"2034",2006,75,167.352941176471,42.4776255294118,-68.1562495,1144.22107478104,111.595971888818
"2035",2007,75,174.75,42.537055375,-68.075933875,1151.38808612252,114.313671211175
"2036",2008,75,173.80487804878,42.498826,-68.0366180731707,1150.92357149605,115.549510222936
"2037",2009,75,172.153846153846,42.6420004615385,-68.5553953461538,1134.65502575912,91.918280768796
"2038",2010,75,167.411764705882,42.7225994117647,-68.3617523529412,1151.76099187226,86.8564300094928
"2039",2011,75,151.96,42.72157324,-68.03745164,1170.28634383546,104.023246166501
"2040",2012,75,140.545454545455,42.5865964242424,-68.7081034242424,1121.45046131374,82.8240700333684
"2041",2013,75,146.184210526316,42.7586063157895,-68.4939829473684,1147.79417214596,99.1123050933121
"2042",2014,75,158.242424242424,42.7005986060606,-67.9654526363636,1170.75372783557,102.757449483192
"2043",2015,75,156.90625,42.738445875,-67.86900434375,1180.27046632751,106.504618448762
"2044",2016,75,156.018518518519,42.6581621851852,-68.3364618518519,1149.21502071128,100.472495579486
"2045",2017,75,177.515151515152,42.6475058484848,-67.9737478787879,1166.38160899475,115.337916848325
"2046",2018,75,162.166666666667,42.2615134166667,-67.56605975,1159.71909715984,157.343076907477
"2047",2019,75,158.727272727273,42.4550700606061,-67.483551060606,1177.55321466097,133.711977106183
"2048",2020,75,NA,NA,NA,NA,NA
"2049",2021,75,182.47619047619,42.7417062857143,-67.7684681904762,1186.06389028945,128.907770784517
"2050",2022,75,168.0625,42.69395828125,-67.87727609375,1175.60533056528,135.101994551667
"2051",2023,75,147,41.99050025,-67.31424975,1148.76905284023,167.108447932297
"2052",2024,75,176.777777777778,42.5081682222222,-67.4666135185185,1183.74515310396,134.836042340892
"2053",1968,76,179.898550724638,41.1108695362319,-69.6045893623188,947.060667091297,129.348349446805
"2054",1969,76,210.015873015873,41.6031746190476,-69.2732803968254,1007.3467824694,120.151819182514
"2055",1970,76,178.4,41.7953332933333,-69.5313333866667,1009.48840081303,104.966960151507
"2056",1971,76,182.871794871795,41.599358974359,-69.1826923076923,1012.82537335556,127.158597368111
